"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.90524733319767,0.927761671200046,"ST016",0.90563948104325,0.927953981417988,-0.000392147845579838,-0.000192310217942526
"AI only",0.915634124829176,0.939985375524355,"ST016",0.917948680308724,0.941733155814096,-0.00231455547954829,-0.00174778028974032
"Reader only",0.906593226858099,0.928162998480703,"ST017",0.90563948104325,0.927953981417988,0.000953745814848417,0.000209017062715144
"AI only",0.916386319375013,0.940237458325651,"ST017",0.917948680308724,0.941733155814096,-0.00156236093371132,-0.00149569748844436
"Reader only",0.906015437405255,0.927831460975846,"ST018",0.90563948104325,0.927953981417988,0.000375956362005159,-0.000122520442142116
"AI only",0.917909541496757,0.941832928597321,"ST018",0.917948680308724,0.941733155814096,-3.91388119675984e-05,9.97727832251494e-05
"Reader only",0.905896726396884,0.928374163050084,"ST019",0.90563948104325,0.927953981417988,0.000257245353633473,0.000420181632096228
"AI only",0.919193524300973,0.942300337246298,"ST019",0.917948680308724,0.941733155814096,0.00124484399224889,0.000567181432202024
"Reader only",0.911842248799476,0.931539931266285,"ST020",0.90563948104325,0.927953981417988,0.00620276775622552,0.00358594984829685
"AI only",0.919726115644675,0.94179035205165,"ST020",0.917948680308724,0.941733155814096,0.00177743533595043,5.71962375545132e-05
"Reader only",0.907389613982365,0.928499940014688,"ST021",0.90563948104325,0.927953981417988,0.00175013293911475,0.000545958596699703
"AI only",0.918312790544594,0.942514845118224,"ST021",0.917948680308724,0.941733155814096,0.00036411023587013,0.000781689304127919
"Reader only",0.906623470999578,0.927957161674555,"ST022",0.90563948104325,0.927953981417988,0.000983989956328091,3.18025656631526e-06
"AI only",0.917976433684965,0.941996603724814,"ST022",0.917948680308724,0.941733155814096,2.77533762403914e-05,0.000263447910718528
"Reader only",0.90573628879943,0.927890307475589,"ST023",0.90563948104325,0.927953981417988,9.68077561794844e-05,-6.3673942398812e-05
"AI only",0.919608503818927,0.942509494360839,"ST023",0.917948680308724,0.941733155814096,0.00165982351020244,0.000776338546743416
"Reader only",0.906279492518747,0.92818845230703,"ST024",0.90563948104325,0.927953981417988,0.000640011475496416,0.000234470889041716
"AI only",0.916029610829666,0.942019197289212,"ST024",0.917948680308724,0.941733155814096,-0.0019190694790584,0.000286041475116128
"Reader only",0.906870352050361,0.92810446894999,"ST025",0.90563948104325,0.927953981417988,0.00123087100711095,0.000150487532001309
"AI only",0.918237289143686,0.941846910004112,"ST025",0.917948680308724,0.941733155814096,0.000288608834961734,0.000113754190016246
